-1446976	-369948
-1447063	-369995
-1447150	-370044
-1447238	-370094
-1447325	-370143
-1447412	-370192
-1447500	-370239
-1447587	-370287
-1447675	-370337
-1447762	-370384
-1447851	-370431
-1447938	-370479
-1448025	-370528
-1448113	-370578
-1448200	-370627
-1448286	-370676
-1448373	-370727
-1448460	-370775
-1448547	-370824
-1448635	-370874
-1448722	-370921
-1448810	-370969
-1448898	-371016
-1448987	-371063
-1449076	-371109
-1449166	-371153
-1449256	-371194
-1449347	-371237
-1449438	-371279
-1449527	-371324
-1449617	-371367
-1449709	-371408
-1449801	-371447
-1449889	-371494
-1449977	-371542
-1450065	-371589
-1450159	-371624
-1450255	-371649
-1450351	-371679
-1450447	-371708
-1450541	-371739
-1450630	-371787
-1450714	-371841
-1450803	-371887
-1450890	-371936
-1450983	-371972
-1451073	-372014
-1451163	-372060
-1451257	-372094
-1451351	-372125
-1451447	-372156
-1451543	-372185
-1451638	-372215
-1451729	-372257
-1451819	-372300
-1451914	-372331
-1451996	-372388
-1452077	-372447
-1452171	-372482
-1452262	-372523
-1452351	-372568
-1452440	-372612
-1452529	-372659
-1452621	-372697
-1452708	-372746
-1452787	-372809
-1452865	-372870
-1452944	-372933
-1453025	-372991
-1453099	-373058
-1453173	-373126
-1453247	-373193
-1453330	-373249
-1453413	-373305
-1453496	-373359
-1453582	-373410
-1453670	-373457
-1453760	-373503
-1453849	-373548
-1453936	-373598
-1454018	-373655
-1454101	-373711
-1454197	-373738
-1454295	-373759
-1454393	-373779
-1454491	-373799
-1454590	-373812
-1454686	-373838
-1454768	-373896
-1454844	-373960
-1454920	-374025
-1455005	-374079
-1455091	-374131
-1455178	-374180
-1455266	-374227
-1455354	-374275
-1455441	-374324
-1455533	-374364
-1455625	-374402
-1455718	-374439
-1455802	-374493
-1455886	-374548
-1455974	-374595
-1456062	-374643
-1456149	-374692
-1456236	-374741
-1456325	-374786
-1456415	-374830
-1456507	-374868
-1456598	-374909
-1456689	-374953
-1456780	-374994
-1456874	-375028
-1456968	-375063
-1457060	-375102
-1457153	-375139
-1457243	-375180
-1457334	-375222
-1457425	-375265
-1457515	-375306
-1457607	-375348
-1457698	-375389
-1457789	-375428
-1457883	-375465
-1457975	-375502
-1458068	-375541
-1458161	-375576
-1458254	-375612
-1458348	-375649
-1458438	-375692
-1458528	-375736
-1458617	-375780
-1458706	-375825
-1458797	-375867
-1458889	-375906
-1458983	-375942
-1459076	-375977
-1459163	-376028
-1459251	-376074
-1459339	-376121
-1459431	-376161
-1459520	-376208
-1459611	-376249
-1459706	-376279
-1459801	-376312
-1459895	-376343
-1459990	-376377
-1460085	-376405
-1460182	-376432
-1460279	-376455
-1460377	-376478
-1460474	-376502
-1460568	-376533
-1460659	-376575
-1460750	-376617
-1460843	-376653
-1460932	-376698
-1461025	-376737
-1461120	-376769
-1461215	-376797
-1461310	-376828
-1461405	-376860
-1461503	-376883
-1461600	-376903
-1461699	-376921
-1461792	-376957
-1461884	-376996
-1461977	-377035
-1462069	-377072
-1462161	-377113
-1462252	-377152
-1462344	-377192
-1462434	-377235
-1462524	-377279
-1462614	-377325
-1462704	-377368
-1462796	-377407
-1462888	-377447
-1462980	-377486
-1463072	-377523
-1463166	-377560
-1463258	-377596
-1463351	-377635
-1463444	-377672
-1463537	-377709
-1463627	-377750
-1463718	-377791
-1463811	-377830
-1463898	-377879
-1463988	-377924
-1464077	-377967
-1464167	-378011
-1464257	-378057
-1464346	-378101
-1464435	-378148
-1464524	-378192
-1464613	-378237
-1464704	-378279
-1464795	-378320
-1464884	-378368
-1464972	-378413
-1465060	-378463
-1465149	-378507
-1465240	-378550
-1465332	-378589
-1465422	-378633
-1465513	-378674
-1465604	-378713
-1465700	-378742
-1465795	-378774
-1465888	-378811
-1465970	-378867
-1466054	-378922
-1466141	-378971
-1466232	-379014
-1466321	-379058
-1466408	-379108
-1466495	-379157
-1466582	-379206
-1466666	-379260
-1466753	-379311
-1466841	-379359
-1466931	-379400
-1467023	-379440
-1467113	-379485
-1467202	-379530
-1467290	-379576
-1467379	-379623
