-1485349	-390667
-1485436	-390715
-1485522	-390766
-1485602	-390826
-1485684	-390884
-1485768	-390938
-1485853	-390990
-1485939	-391041
-1486022	-391098
-1486107	-391150
-1486193	-391201
-1486284	-391241
-1486374	-391286
-1486463	-391331
-1486554	-391373
-1486645	-391415
-1486735	-391457
-1486826	-391498
-1486919	-391536
-1487013	-391571
-1487107	-391605
-1487200	-391640
-1487294	-391676
-1487386	-391713
-1487478	-391753
-1487571	-391791
-1487663	-391829
-1487756	-391866
-1487849	-391902
-1487942	-391939
-1488036	-391973
-1488131	-392005
-1488227	-392034
-1488322	-392065
-1488417	-392095
-1488511	-392128
-1488605	-392163
-1488699	-392197
-1488793	-392231
-1488888	-392263
-1488983	-392295
-1489077	-392328
-1489171	-392363
-1489265	-392396
-1489359	-392430
-1489452	-392466
-1489546	-392502
-1489639	-392539
-1489732	-392575
-1489824	-392613
-1489914	-392657
-1490005	-392698
-1490097	-392739
-1490190	-392774
-1490285	-392806
-1490379	-392841
-1490471	-392879
-1490564	-392917
-1490656	-392955
-1490749	-392992
-1490842	-393030
-1490934	-393069
-1491026	-393108
-1491118	-393147
-1491211	-393184
-1491304	-393221
-1491396	-393259
-1491489	-393297
-1491581	-393336
-1491676	-393368
-1491770	-393400
-1491865	-393432
-1491958	-393469
-1492050	-393508
-1492142	-393547
-1492235	-393584
-1492327	-393624
-1492419	-393664
-1492511	-393703
-1492598	-393752
-1492686	-393799
-1492775	-393844
-1492863	-393893
-1492950	-393941
-1493043	-393979
-1493136	-394015
-1493230	-394049
-1493323	-394085
-1493416	-394123
-1493508	-394162
-1493600	-394201
-1493690	-394245
-1493782	-394283
-1493875	-394319
-1493969	-394355
-1494062	-394390
-1494157	-394423
-1494251	-394457
-1494345	-394491
-1494438	-394527
-1494531	-394563
-1494624	-394600
-1494717	-394637
-1494809	-394676
-1494901	-394715
-1494993	-394754
-1495086	-394791
-1495180	-394827
-1495273	-394862
-1495367	-394896
-1495461	-394931
-1495555	-394966
-1495649	-395000
-1495743	-395034
-1495836	-395069
-1495930	-395105
-1496023	-395140
-1496117	-395175
-1496211	-395210
-1496305	-395245
-1496399	-395278
-1496493	-395313
-1496586	-395348
-1496679	-395385
-1496773	-395421
-1496866	-395457
-1496960	-395492
-1497053	-395528
-1497146	-395565
-1497239	-395601
-1497332	-395637
-1497425	-395675
-1497516	-395716
-1497606	-395760
-1497696	-395803
-1497787	-395846
-1497876	-395890
-1497967	-395933
-1498058	-395974
-1498149	-396015
-1498240	-396057
-1498331	-396098
-1498421	-396141
-1498511	-396184
-1498602	-396226
-1498693	-396267
-1498784	-396310
-1498873	-396354
-1498964	-396397
-1499054	-396439
-1499145	-396481
-1499236	-396523
-1499326	-396566
-1499416	-396610
-1499506	-396654
-1499596	-396698
-1499686	-396741
-1499776	-396785
-1499865	-396829
-1499955	-396874
-1500044	-396919
-1500133	-396965
-1500220	-397014
-1500307	-397064
-1500393	-397115
-1500479	-397165
-1500566	-397215
-1500651	-397267
-1500736	-397320
-1500823	-397369
-1500909	-397421
-1500995	-397472
-1501081	-397523
-1501168	-397572
-1501255	-397622
-1501342	-397671
-1501430	-397718
-1501517	-397767
-1501605	-397815
-1501693	-397863
-1501780	-397912
-1501868	-397960
-1501955	-398008
-1502044	-398055
-1502131	-398103
-1502220	-398150
-1502307	-398198
-1502396	-398245
-1502483	-398293
-1502571	-398342
-1502658	-398391
-1502745	-398440
-1502833	-398488
-1502920	-398537
-1503006	-398587
-1503092	-398638
-1503178	-398690
-1503263	-398743
-1503347	-398797
-1503430	-398853
-1503513	-398908
-1503597	-398963
-1503680	-399018
-1503764	-399072
-1503848	-399127
-1503931	-399182
-1504015	-399237
-1504099	-399291
-1504183	-399345
-1504267	-399399
-1504352	-399453
-1504436	-399507
-1504521	-399560
-1504606	-399612
-1504692	-399663
-1504778	-399714
-1504864	-399765
-1504951	-399815
-1505037	-399866
-1505123	-399917
-1505209	-399967
-1505295	-400018
-1505382	-400068
-1505465	-400123
-1505552	-400173
-1505638	-400224
-1505723	-400276
