Easting,Northing,surf,bed,hice,dist
-1464922,-381290,885.2205810546875,-924.3408,1819.299,8.5
-1465013,-381331,885.1943969726562,-939.978,1834.504,8.6
-1465100,-381380,885.1943969726562,-939.978,1834.504,8.7
-1465188,-381427,885.93701171875,-939.978,1834.504,8.8
-1465280,-381465,886.6660766601562,-939.978,1834.504,8.9
-1465374,-381499,886.6660766601562,-939.978,1834.504,9.0
-1465470,-381529,887.4717407226562,-934.6997,1832.3635,9.1
-1465567,-381554,887.4717407226562,-948.3638,1846.6504,9.2
-1465664,-381578,888.8743286132812,-948.3638,1846.6504,9.3
-1465764,-381574,888.8743286132812,-948.3638,1846.6504,9.4
-1465863,-381559,890.8346557617188,-948.3638,1846.6504,9.5
-1465962,-381544,890.8346557617188,-948.3638,1846.6504,9.6
-1466060,-381524,892.9187622070312,-960.19104,1860.9056,9.7
-1466159,-381535,892.9187622070312,-960.19104,1860.9056,9.8
-1466259,-381544,895.0908203125,-960.19104,1860.9056,9.9
-1466355,-381570,895.0908203125,-960.19104,1860.9056,10.0
-1466449,-381603,897.06396484375,-960.19104,1860.9056,10.1
-1466544,-381637,897.06396484375,-969.13074,1874.247,10.2
-1466632,-381685,898.9293823242188,-969.13074,1874.247,10.3
-1466714,-381740,898.9293823242188,-969.13074,1874.247,10.4
-1466800,-381791,898.9293823242188,-969.13074,1874.247,10.5
-1466887,-381842,900.2290649414062,-969.13074,1874.247,10.6
-1466974,-381892,900.2290649414062,-969.13074,1874.247,10.7
-1467061,-381941,901.7073364257812,-976.38965,1885.7917,10.8
-1467148,-381990,901.7073364257812,-976.38965,1885.7917,10.9
-1467234,-382041,902.6868286132812,-974.22125,1882.4572,11.0
-1467323,-382087,902.6868286132812,-974.22125,1882.4572,11.1
-1467410,-382136,904.221923828125,-974.22125,1882.4572,11.2
-1467499,-382180,904.221923828125,-974.22125,1882.4572,11.3
-1467591,-382222,903.675537109375,-979.3935,1891.4976,11.4
-1467675,-382276,905.3067626953125,-979.3935,1891.4976,11.5
-1467760,-382328,905.3067626953125,-979.3935,1891.4976,11.6
-1467846,-382380,906.6011962890625,-979.3935,1891.4976,11.7
-1467933,-382429,906.3976440429688,-979.3935,1891.4976,11.8
-1468022,-382473,907.7793579101562,-983.14685,1898.927,11.9
-1468113,-382516,907.7793579101562,-978.7491,1894.026,12.0
-1468203,-382560,909.367919921875,-978.7491,1894.026,12.1
-1468293,-382601,909.1268920898438,-978.7491,1894.026,12.2
-1468384,-382644,909.1268920898438,-978.7491,1894.026,12.3
-1468475,-382685,910.5296630859375,-978.7491,1894.026,12.4
-1468565,-382727,910.5296630859375,-981.22394,1899.6725,12.5
-1468657,-382767,911.8997192382812,-981.22394,1899.6725,12.6
-1468749,-382807,911.2412719726562,-981.22394,1899.6725,12.7
-1468842,-382845,912.4939575195312,-981.22394,1899.6725,12.8
-1468935,-382882,912.4939575195312,-981.22394,1899.6725,12.9
-1469027,-382918,913.35791015625,-983.3519,1904.595,13.0
-1469119,-382959,913.35791015625,-983.3519,1904.595,13.1
-1469211,-382999,914.0852661132812,-983.3519,1904.595,13.2
-1469304,-383035,913.22021484375,-978.7368,1897.6425,13.3
-1469397,-383072,913.22021484375,-978.7368,1897.6425,13.4
-1469490,-383108,913.6622314453125,-978.7368,1897.6425,13.5
-1469584,-383143,913.6622314453125,-981.2186,1901.0195,13.6
-1469677,-383178,913.7481079101562,-981.2186,1901.0195,13.7
-1469771,-383215,912.45361328125,-981.2186,1901.0195,13.8
-1469862,-383256,912.0639038085938,-981.2186,1901.0195,13.9
-1469953,-383295,912.0639038085938,-981.2186,1901.0195,14.0
-1470045,-383336,911.1568603515625,-984.37024,1903.3589,14.1
-1470136,-383376,911.1568603515625,-984.37024,1903.3589,14.2
-1470225,-383422,908.5325317382812,-984.37024,1903.3589,14.3
-1470310,-383474,908.5325317382812,-984.37024,1903.3589,14.4
-1470394,-383530,908.5325317382812,-980.1317,1894.3318,14.5
-1470482,-383578,907.1505737304688,-980.1317,1894.3318,14.6
-1470570,-383625,905.29443359375,-984.8725,1895.86,14.7
-1470659,-383671,903.715087890625,-984.8725,1895.86,14.8
-1470748,-383716,903.715087890625,-984.8725,1895.86,14.9
-1470835,-383764,901.9765625,-984.8725,1895.86,15.0
-1470924,-383811,899.810302734375,-984.8725,1895.86,15.1
-1471013,-383857,897.92529296875,-991.74567,1898.1772,15.2
-1471102,-383901,897.92529296875,-991.74567,1898.1772,15.3
-1471192,-383946,897.92529296875,-991.74567,1898.1772,15.4
-1471281,-383990,895.597900390625,-991.74567,1898.1772,15.5
-1471371,-384036,893.4715576171875,-987.5541,1888.0815,15.6
-1471460,-384081,890.908447265625,-987.5541,1888.0815,15.7
-1471550,-384125,890.908447265625,-997.1118,1892.1334,15.8
-1471640,-384168,888.5645141601562,-997.1118,1892.1334,15.9
-1471730,-384212,886.2462158203125,-997.1118,1892.1334,16.0
-1471822,-384251,883.4680786132812,-997.1118,1892.1334,16.1
-1471913,-384293,883.4680786132812,-997.1118,1892.1334,16.2
-1472004,-384332,880.6282958984375,-1008.6773,1897.1952,16.3
-1472097,-384371,880.6282958984375,-1008.6773,1897.1952,16.4
-1472188,-384413,878.4351806640625,-1008.6773,1897.1952,16.5
-1472278,-384456,875.2164916992188,-1008.6773,1897.1952,16.6
-1472369,-384497,875.2164916992188,-1008.6773,1897.1952,16.7
-1472460,-384537,871.9725952148438,-1007.3862,1889.8245,16.8
-1472552,-384579,871.9725952148438,-1021.0643,1896.3722,16.9
-1472642,-384620,866.7530517578125,-1021.0643,1896.3722,17.0
-1472733,-384664,866.7530517578125,-1021.0643,1896.3722,17.1
